,random_forest,gradient_boosting,average
ema_12,0.03879756294287646,0.18446078316749817,0.11162917305518731
vwap,0.075200051819381,0.13543861852053332,0.10531933516995716
close_rolling_mean_20,0.03391190962474573,0.1427510338796668,0.08833147175220626
close,0.14738794320642895,0.01786715017152585,0.0826275466889774
sma_20,0.03008100131955394,0.13332946919149435,0.08170523525552414
ema_26,0.07302063293472458,0.06285875194251078,0.06793969243861768
low,0.08812526491569209,0.008649441279088184,0.04838735309739013
close_rolling_max_20,0.024836369122471627,0.07018551870843386,0.04751094391545274
bb_width,0.04337309780865791,0.04751867762001029,0.045445887714334096
high,0.03348533995108609,0.043635452911340696,0.038560396431213395
bb_upper,0.023343295504923072,0.041290676425828725,0.0323169859653759
sma_5,0.05432775562852006,0.0001334962149356867,0.027230625921727872
open,0.030719513174152828,0.011924161168038395,0.021321837171095613
close_rolling_mean_10,0.042197190360612105,3.334669176366409e-05,0.021115268526187884
sma_50,0.022964607925705947,0.014779922005550434,0.01887226496562819
bb_middle,0.029888419356675692,0.00745220596966568,0.018670312663170686
close_rolling_max_10,0.015974274749747105,0.012518014718421976,0.01424614473408454
close_rolling_std_20,0.012702428785456132,0.007243207898223339,0.009972818341839735
close_rolling_min_5,0.015082747811424206,0.00021627904325858342,0.007649513427341395
high_lag_10,0.013847744323425157,0.0014172609960764685,0.007632502659750812
close_rolling_max_5,0.014120054442535848,0.0004384035582621817,0.007279229000399015
low_lag_1,0.014286152964869188,6.022238503575537e-05,0.007173187674952472
close_rolling_min_20,0.014175622453958292,3.921986361238171e-05,0.0071074211587853365
stoch_d,0.007595844456881966,0.005283996034380866,0.006439920245631416
stoch_k,0.002087530299335593,0.00814384256066558,0.005115686430000587
volume_rolling_mean_20,0.009360450437033522,0.0002703277337163572,0.0048153890853749395
atr,0.008246783479446932,0.000458046424697624,0.004352414952072278
macd_hist,0.0022768425027398166,0.00589476112948293,0.004085801816111373
macd,0.007790890861903019,0.0002290053798017788,0.004009948120852399
price_position,0.002933188918538191,0.005040462606265278,0.003986825762401735
high_lag_2,0.00757363361254373,0.00038762195611744823,0.003980627784330589
close_rolling_mean_5,0.007304750457496225,2.9049321719270205e-05,0.0036668998896077477
sma_10,0.00665393538716951,4.2747832590667255e-06,0.003329105085214288
oc_pct,0.0016474991829102462,0.0047504033870638274,0.003198951284987037
close_lag_1,0.006023904695981563,0.0001481712272001624,0.0030860379615908627
oc_range,0.0015800993861656038,0.003373052522656013,0.0024765759544108086
low_lag_5,0.00024383403203982092,0.004629797288173315,0.0024368156601065677
close_lag_10,0.0036573853646664945,0.0011283903039696276,0.002392887834318061
momentum,0.0017248969829100295,0.0027360397487419075,0.0022304683658259687
high_lag_1,0.004014714754969584,0.00023751915277349663,0.0021261169538715403
low_lag_10,0.0024091080453039954,0.0009815107831936134,0.0016953094142488044
close_lag_5,0.0003054810992012726,0.002469836578341681,0.0013876588387714767
volume_rolling_std_10,0.002063422401002768,0.00015316557870263803,0.001108293989852703
rsi,0.0021376725951802915,3.205595236023408e-05,0.0010848642737702628
close_lag_2,0.0020411020733085636,2.5705276907263997e-05,0.0010334036751079138
volume_rolling_std_20,0.0010463248119730937,0.0010128419285734744,0.001029583370273284
close_lag_3,0.0010551404153043538,0.0006636086928730875,0.0008593745540887206
bb_lower,0.0013521458148840668,0.0003521309910073363,0.0008521384029457016
price_change_2d,0.0007840570745332106,0.0008450929969065578,0.0008145750357198842
volume_lag_10,0.0011660883191622774,0.00019805335128296513,0.0006820708352226212
high_lag_3,0.0011990967722933705,0.00010488403536934605,0.0006519904038313583
gap,0.00019522305335076484,0.0010360103503469394,0.0006156167018488521
volume_change,0.001077806527112064,0.00013740472604584775,0.0006076056265789559
volume_lag_3,0.0007676889289935265,0.0003382125241168605,0.0005529507265551935
macd_signal,0.0007159582810120208,0.00035383614727398294,0.0005348972141430018
volume_lag_5,0.0006082232323688378,0.0004525952643903136,0.0005304092483795757
volume_ma_ratio,0.00033290540765171066,0.0006927683093337744,0.0005128368584927425
volume,0.0009164841474531898,9.001095966964349e-05,0.0005032475535614166
volume_rolling_mean_10,0.0009430800675498511,5.361241216818729e-05,0.0004983462398590192
low_lag_3,0.000758336431864655,0.00021612711913323871,0.0004872317754989469
volume_lag_1,0.0006365167281246982,0.00030912055745065917,0.0004728186427876787
obv,0.0007830778159723123,5.726602933701308e-05,0.0004201719226546627
price_change,0.0007121422381958597,3.281209941175222e-05,0.0003724771688038059
close_rolling_std_5,0.0006589100860300737,6.927660553197964e-05,0.00036409334578102665
adx,0.0002530850246438697,0.00046903293500444743,0.0003610589798241586
gap_pct,7.435405547303202e-05,0.0005852343441351591,0.00032979419980409553
close_rolling_std_10,0.0003204111340204866,0.00032310199697823874,0.0003217565654993627
volume_lag_2,0.0004906699001085063,0.00010219447526605144,0.00029643218768727887
price_change_5d,0.00019207305248457792,0.00024824391757421966,0.00022015848502939878
mfi,0.00027205587955522547,0.00012498987711128873,0.0001985228783332571
roc,0.0002331105501878235,0.00014404964393897621,0.00018858009706339984
volume_rolling_std_5,0.00016307787548228101,0.00018020506897422267,0.00017164147222825183
hl_pct,0.00029468832094352163,7.988573481468543e-06,0.00015133844721249508
high_lag_5,0.00017911242922103145,3.3514277704859906e-05,0.00010631335346294568
close_rolling_min_10,0.000190571020043839,2.2035587890403645e-08,9.52965278158647e-05
hl_range,6.496814810110387e-05,3.6783514699596274e-05,5.087583140035007e-05
low_lag_2,2.3944259386340203e-05,3.9589877619616164e-05,3.176706850297818e-05
volume_rolling_mean_5,1.6720042165665273e-05,4.1034300735509846e-05,2.887717145058756e-05
